Descrição,Código (SKU),Unidade,Preço,Preço promocional,Estoque disponível,Custo,origem
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 6 m.",KIT-IP746-6-933-1,M,48,0,22.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL + KIT - Ecommerce 2 - 8 m.",KIT-IP746-8-933-1,M,69,0,13.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL - Ecommerce",IP746-Ecommerce,UN,8,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,52 CM FULL - Ecommerce - 1 m.",IP746-1,UN,8,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL",IP730,UN,10,0,-41.5,4.25,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce",IP730-KIT-Ecommerce,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 1 m.",KIT-IP730-25874,UN,15,0,-36.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 10 m.",KIT-IP730-10-25874,UN,105,0,-4.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 15 m.",KIT-IP730-15-25874,UN,155,0,-3.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 2 m.",KIT-IP730-2-25874,UN,25,0,-18.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 20 m.",KIT-IP730-20-25874,UN,205,0,-2.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 3 m.",KIT-IP730-3-25874,UN,35,0,-13.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 4 m.",KIT-IP730-4-25874,UN,45,0,-9.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 5 m.",KIT-IP730-5-25874,UN,55,0,-8.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 6 m.",KIT-IP730-6-25874,UN,65,0,-7.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce - 8 m.",KIT-IP730-8-25874,UN,85,0,-5.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2",IP730-KIT-Ecommerce2,M,0,0,0.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 1 m.",KIT-IP730-25874-1,M,15,0,-36.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 10 m.",KIT-IP730-10-25874-1,M,105,0,-4.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 15 m.",KIT-IP730-15-25874-1,M,155,0,-3.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 2 m.",KIT-IP730-2-25874-1,M,25,0,-18.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 20 m.",KIT-IP730-20-25874-1,M,205,0,-2.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 3 m.",KIT-IP730-3-25874-1,M,35,0,-13.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 4 m.",KIT-IP730-4-25874-1,M,45,0,-9.0,0,servi
"VINIL JATEADO TRANSP C/0,61CM FULL + KIT - Ecommerce 2 - 5 m.",KIT-IP730-5-25874-1,M,55,0,-8.0,0,servi
